,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc
208,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,104.7,869.679,1.0299999,60.61,0.9759428544834277
209,Huhtamaki India Ltd.,INDUSTRIAL MANUFACTURING,HUHTAMAKI,11.231,100.884,73.347,1.928,0.2732304524525759
210,ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,26.83,227.825,2.003,49.956,0.9927443680183669
211,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,32.27,178.67,52.20399999999999,28.988999999999997,0.4686604156891513
212,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,6.65,64.119,73.504996,14.693000000000001,0.2571000684619531
213,ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC,33.08,56.521,74.968004,10.083999500000001,0.24981381870278718
214,IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,1.44,35.292,45.532000000000004,49.275002,0.05187946189485944
215,IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,0.87,31.374,44.335,30.598999999999997,0.3849375710469604
216,IDFC Ltd.,FINANCIAL SERVICES,IDFC,-3.869,52.571,24.373,17.259,0.7503321920048891
217,IFB Industries Ltd.,CONSUMER GOODS,IFBIND,8.89,155.721,85.663,2.2319999999999998,0.1339012507774169
218,IIFL Finance Ltd.,FINANCIAL SERVICES,IIFL,20.04,142.287,54.87499999999999,34.597,0.29595496703571544
